Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,ECI-x,ECI-y,ECI-z
2024,8,6,0,2,38.99998248,-38.54856792,97.73757333,659631.0643,3297436.651,4407182.643,-4372363.337
2024,8,6,0,2,40.00001729,-38.51371041,97.79747326,659578.1491,3294083.355,4412975.861,-4368981.734
2024,8,6,0,2,41.00001186,-38.47881728,97.85731249,659525.1604,3290726.284,4418764.021,-4365595.11
2024,8,6,0,2,42.00000644,-38.44388861,97.91709095,659472.0982,3287365.441,4424547.116,-4362203.469
2024,8,6,0,2,43.00000101,-38.40892446,97.97680869,659418.9626,3284000.83,4430325.14,-4358806.816
2024,8,6,0,2,43.99999559,-38.37392492,98.0364658,659365.7538,3280632.456,4436098.085,-4355405.152
2024,8,6,0,2,44.99999017,-38.33889006,98.09606234,659312.4719,3277260.321,4441865.946,-4351998.484
2024,8,6,0,2,45.99998474,-38.30381995,98.1555984,659259.1168,3273884.43,4447628.716,-4348586.814
2024,8,6,0,2,47.00001955,-38.26871467,98.21507387,659205.6888,3270504.786,4453386.387,-4345170.146
2024,8,6,0,2,48.00001413,-38.23357428,98.27448918,659152.188,3267121.393,4459138.953,-4341748.483
2024,8,6,0,2,49.0000087,-38.19839887,98.33384422,659098.6143,3263734.255,4464886.407,-4338321.831
2024,8,6,0,2,50.00000328,-38.16318851,98.39313907,659044.968,3260343.376,4470628.744,-4334890.192
2024,8,6,0,2,50.99999785,-38.12794327,98.45237381,658991.2491,3256948.759,4476365.955,-4331453.571
2024,8,6,0,2,51.99999243,-38.09266322,98.51154851,658937.4577,3253550.409,4482098.034,-4328011.971
2024,8,6,0,2,52.99998701,-38.05734844,98.57066324,658883.594,3250148.329,4487824.975,-4324565.396
2024,8,6,0,2,53.99998158,-38.021999,98.62971809,658829.6579,3246742.523,4493546.771,-4321113.85
2024,8,6,0,2,55.00001639,-37.98661498,98.68871296,658775.6497,3243332.994,4499263.415,-4317657.337
2024,8,6,0,2,56.00001097,-37.95119644,98.74764827,658721.5694,3239919.747,4504974.901,-4314195.861
2024,8,6,0,2,57.00000554,-37.91574346,98.80652391,658667.4171,3236502.786,4510681.222,-4310729.425
2024,8,6,0,2,58.00000012,-37.88025612,98.86533997,658613.1929,3233082.114,4516382.371,-4307258.034
2024,8,6,0,2,58.9999947,-37.84473447,98.92409653,658558.8969,3229657.736,4522078.341,-4303781.691
2024,8,6,0,2,59.99998927,-37.80917861,98.98279366,658504.5292,3226229.654,4527769.127,-4300300.4
2024,8,6,0,3,0.999983847,-37.77358859,99.04143144,658450.0899,3222797.873,4533454.721,-4296814.166
2024,8,6,0,3,2.000018656,-37.7379645,99.10000977,658395.5792,3219362.397,4539135.116,-4293322.991
2024,8,6,0,3,3.000013232,-37.7023064,99.15852907,658340.997,3215923.229,4544810.307,-4289826.881
2024,8,6,0,3,4.000007808,-37.66661436,99.21698926,658286.3435,3212480.374,4550480.286,-4286325.838
2024,8,6,0,3,5.000002384,-37.63088846,99.2753904,658231.6188,3209033.835,4556145.047,-4282819.867
2024,8,6,0,3,5.99999696,-37.59512877,99.33373257,658176.823,3205583.616,4561804.583,-4279308.972
2024,8,6,0,3,6.999991536,-37.55933536,99.39201586,658121.9562,3202129.721,4567458.888,-4275793.157
2024,8,6,0,3,7.999986112,-37.52350831,99.45024034,658067.0185,3198672.154,4573107.955,-4272272.425
2024,8,6,0,3,8.999980688,-37.48764767,99.50840609,658012.01,3195210.919,4578751.778,-4268746.78
2024,8,6,0,3,10.0000155,-37.45175354,99.56651301,657956.9308,3191746.02,4584390.349,-4265216.227
2024,8,6,0,3,11.00001007,-37.41582596,99.62456153,657901.781,3188277.46,4590023.663,-4261680.77
2024,8,6,0,3,12.00000465,-37.37986503,99.68255156,657846.5607,3184805.244,4595651.712,-4258140.411
2024,8,6,0,3,12.99999923,-37.3438708,99.74048316,657791.27,3181329.375,4601274.49,-4254595.156
2024,8,6,0,3,13.9999938,-37.30784335,99.79835643,657735.909,3177849.858,4606891.991,-4251045.009
2024,8,6,0,3,14.99998838,-37.27178275,99.85617144,657680.4777,3174366.695,4612504.208,-4247489.972
2024,8,6,0,3,15.99998295,-37.23568906,99.91392827,657624.9764,3170879.892,4618111.135,-4243930.051
2024,8,6,0,3,17.00001776,-37.19956237,99.97162682,657569.4051,3167389.452,4623712.764,-4240365.249
2024,8,6,0,3,18.00001234,-37.16340274,100.0292675,657513.7638,3163895.379,4629309.09,-4236795.571
2024,8,6,0,3,19.00000691,-37.12721024,100.0868503,657458.0528,3160397.676,4634900.106,-4233221.019
2024,8,6,0,3,20.00000149,-37.09098494,100.1443752,657402.272,3156896.349,4640485.805,-4229641.599
2024,8,6,0,3,20.99999607,-37.05472691,100.2018423,657346.4217,3153391.4,4646066.18,-4226057.314
2024,8,6,0,3,21.99999064,-37.01843622,100.2592517,657290.5018,3149882.834,4651641.226,-4222468.168
2024,8,6,0,3,22.99998522,-36.98211294,100.3166035,657234.5125,3146370.654,4657210.936,-4218874.166
2024,8,6,0,3,24.00002003,-36.94575714,100.3738976,657178.454,3142854.866,4662775.303,-4215275.311
2024,8,6,0,3,25.0000146,-36.90936888,100.4311344,657122.3262,3139335.471,4668334.32,-4211671.607
2024,8,6,0,3,26.00000918,-36.87294825,100.4883138,657066.1294,3135812.475,4673887.982,-4208063.058
2024,8,6,0,3,27.00000376,-36.8364953,100.5454359,657009.8635,3132285.882,4679436.282,-4204449.669
2024,8,6,0,3,27.99999833,-36.80001011,100.6025007,656953.5287,3128755.695,4684979.213,-4200831.444
2024,8,6,0,3,28.99999291,-36.76349275,100.6595085,656897.1252,3125221.918,4690516.769,-4197208.386
2024,8,6,0,3,29.99998748,-36.72694328,100.7164591,656840.653,3121684.556,4696048.943,-4193580.499
2024,8,6,0,3,30.99998206,-36.69036177,100.7733528,656784.1121,3118143.612,4701575.729,-4189947.788
2024,8,6,0,3,32.00001687,-36.6537483,100.8301895,656727.5028,3114599.091,4707097.12,-4186310.257
2024,8,6,0,3,33.00001144,-36.61710292,100.8869694,656670.8251,3111050.996,4712613.11,-4182667.909
2024,8,6,0,3,34.00000602,-36.58042572,100.9436927,656614.0791,3107499.331,4718123.693,-4179020.75
